method,depth,train_data,complexity_penalty,timeout,test_data,time,train_r2,test_r2,leaves,terminal_calls
osrt,4,airfoil,0.0001,1000,airfoil,9.824,0.646124078,0.646124078,16,-1
osrt,4,airfoil,0.001,1000,airfoil,7.929,0.646124078,0.646124078,16,-1
osrt,4,airfoil,0.01,1000,airfoil,5.033,0.643140708,0.643140708,15,-1
osrt,4,airfoil,0.1,1000,airfoil,1.633,0.35306312,0.35306312,3,-1
osrt,4,auction,0.0001,1000,auction,8.542,0.909468561,0.909468561,13,-1
osrt,4,auction,0.001,1000,auction,6.328,0.909304338,0.909304338,12,-1
osrt,4,auction,0.01,1000,auction,6.332,0.904704663,0.904704663,8,-1
osrt,4,auction,0.1,1000,auction,3.098,0.854121535,0.854121535,4,-1
osrt,4,auto_mpg,0.0001,1000,auto_mpg,8.542,0.888132439,0.888132439,16,-1
osrt,4,auto_mpg,0.001,1000,auto_mpg,7.144,0.888132439,0.888132439,16,-1
osrt,4,auto_mpg,0.01,1000,auto_mpg,5.596,0.838631297,0.838631297,7,-1
osrt,4,auto_mpg,0.1,1000,auto_mpg,0.144,0.690938776,0.690938776,3,-1
osrt,4,enb-cool,0.0001,1000,enb-cool,5.625,0.95760804,0.95760804,16,-1
osrt,4,enb-cool,0.001,1000,enb-cool,3.839,0.95760804,0.95760804,16,-1
osrt,4,enb-cool,0.01,1000,enb-cool,2.49,0.896626073,0.896626073,4,-1
osrt,4,enb-cool,0.1,1000,enb-cool,0.007,0.802431069,0.802431069,2,-1
osrt,4,enb-heat,0.0001,1000,enb-heat,5.272,0.980124989,0.980124989,16,-1
osrt,4,enb-heat,0.001,1000,enb-heat,4.042,0.97950739,0.97950739,15,-1
osrt,4,enb-heat,0.01,1000,enb-heat,2.609,0.934772083,0.934772083,6,-1
osrt,4,enb-heat,0.1,1000,enb-heat,0.007,0.791086551,0.791086551,2,-1
osrt,4,optical,0.0001,1000,optical,7.879,0.999994838,0.999994838,10,-1
osrt,4,optical,0.001,1000,optical,5.057,0.998647134,0.998647134,7,-1
osrt,4,optical,0.01,1000,optical,4.404,0.987754836,0.987754836,4,-1
osrt,4,optical,0.1,1000,optical,0.024,0.959097293,0.959097293,3,-1
osrt,4,real-estate,0.0001,1000,real-estate,19.405,0.812588323,0.812588323,16,-1
osrt,4,real-estate,0.001,1000,real-estate,16.9,0.812588323,0.812588323,16,-1
osrt,4,real-estate,0.01,1000,real-estate,13.27,0.771751002,0.771751002,10,-1
osrt,4,real-estate,0.1,1000,real-estate,0.12,0.49297523,0.49297523,2,-1
osrt,4,seoul-bike,0.0001,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,4,seoul-bike,0.001,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,4,seoul-bike,0.01,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,4,seoul-bike,0.1,1000,seoul-bike,616.711,0.409394653,0.409394653,3,-1
osrt,4,servo,0.0001,1000,servo,0.309,0.953762878,0.953762878,16,-1
osrt,4,servo,0.001,1000,servo,0.237,0.95234928,0.95234928,14,-1
osrt,4,servo,0.01,1000,servo,0.178,0.933237765,0.933237765,8,-1
osrt,4,servo,0.1,1000,servo,0.027,0.694627348,0.694627348,3,-1
osrt,4,sync,0.0001,1000,sync,0.7,0.988865863,0.988865863,15,-1
osrt,4,sync,0.001,1000,sync,0.631,0.987290947,0.987290947,11,-1
osrt,4,sync,0.01,1000,sync,0.43,0.964080445,0.964080445,6,-1
osrt,4,sync,0.1,1000,sync,0.005,0.873866241,0.873866241,3,-1
osrt,4,yacht,0.0001,1000,yacht,22.634,0.996059066,0.996059066,16,-1
osrt,4,yacht,0.001,1000,yacht,18.1,0.993452532,0.993452532,10,-1
osrt,4,yacht,0.01,1000,yacht,10.024,0.977140083,0.977140083,5,-1
osrt,4,yacht,0.1,1000,yacht,0.011,0.911807465,0.911807465,3,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,airfoil,0.0001,1000,airfoil,2.09048,0.6461240777099823,0.6461240777100055,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,airfoil,0.001,1000,airfoil,2.08897,0.6461240777099823,0.6461240777100055,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,airfoil,0.01,1000,airfoil,2.03076,0.6431407083059074,0.6431407083059302,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,airfoil,0.1,1000,airfoil,1.32375,0.3530631207815848,0.3530631207810571,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,auction,0.0001,1000,auction,1.29648,0.9094685614295572,0.909468561429555,13,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,auction,0.001,1000,auction,1.56894,0.9093043379032822,0.90930433790328,12,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,auction,0.01,1000,auction,1.46677,0.9047046637442672,0.9047046637442652,8,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,auction,0.1,1000,auction,0.451334,0.8541215351512084,0.8541215351512069,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,auto_mpg,0.0001,1000,auto_mpg,2.71169,0.8881324390505645,0.8881324390505643,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,auto_mpg,0.001,1000,auto_mpg,3.10939,0.8881324390505645,0.8881324390505643,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,auto_mpg,0.01,1000,auto_mpg,3.22373,0.8386312970860546,0.8386312970860544,7,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,auto_mpg,0.1,1000,auto_mpg,1.02669,0.6909387762311829,0.6909387762311807,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,enb-cool,0.0001,1000,enb-cool,1.79972,0.9576080401667412,0.9576080401667384,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,enb-cool,0.001,1000,enb-cool,2.02208,0.9576080401667412,0.9576080401667384,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,4,enb-cool,0.01,1000,enb-cool,1.9161,0.8966260727439682,0.8966260727439783,4,0
