method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
dtip,1000,2,airfoil,airfoil,0,1001,-1,-1,-1,-1
dtip,1000,2,auction,auction,0,1001,-1,-1,-1,-1
dtip,1000,2,auto_mpg,auto_mpg,0,1001,-1,-1,-1,-1
dtip,1000,2,enb-cool,enb-cool,0,1001,-1,-1,-1,-1
dtip,1000,2,enb-heat,enb-heat,0,672.3176579,0.881246176,0.881246176,4,-1
dtip,1000,2,optical,optical,0,549.3811605,0.542988602,0.542988602,4,-1
dtip,1000,2,real-estate,real-estate,0,1001,-1,-1,-1,-1
dtip,1000,2,seoul-bike,seoul-bike,0,1001,-1,-1,-1,-1
dtip,1000,2,servo,servo,0,14.30651951,0.536764852,0.536764852,4,-1
dtip,1000,2,sync,sync,0,888.6544433,0.607232875,0.607232875,4,-1
dtip,1000,2,yacht,yacht,0,51.46289754,0.878270187,0.878270187,4,-1
ort_lFalse_metricMAE,1000,2,seoul-bike,seoul-bike,0.0001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,2,seoul-bike,seoul-bike,0.001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,2,seoul-bike,seoul-bike,0.01,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,2,seoul-bike,seoul-bike,0.1,1001,-1,-1,-1,-1
ort_lTrue_metricMAE,1000,2,seoul-bike,seoul-bike,0.0001,1001,-1,-1,-1,-1
ort_lTrue_metricMAE,1000,2,seoul-bike,seoul-bike,0.001,1001,-1,-1,-1,-1
ort_lTrue_metricMAE,1000,2,seoul-bike,seoul-bike,0.01,1001,-1,-1,-1,-1
ort_lTrue_metricMAE,1000,2,seoul-bike,seoul-bike,0.1,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,2,airfoil,airfoil,0.0001,1002.749288,0.343083901,0.320418539,4,-1
ort_lFalse_metricMAE,1000,2,airfoil,airfoil,0.001,1002.810023,0.394040837,0.374650774,4,-1
ort_lFalse_metricMAE,1000,2,airfoil,airfoil,0.01,1002.718408,0.365208988,0.344000753,4,-1
ort_lFalse_metricMAE,1000,2,airfoil,airfoil,0.1,1002.616265,0.377170288,0.377170288,4,-1
ort_lFalse_metricMAE,1000,2,auction,auction,0.0001,1004.629449,0.717873833,0.188806773,4,-1
ort_lFalse_metricMAE,1000,2,auction,auction,0.001,1004.764308,0.717873833,0.188806773,4,-1
ort_lFalse_metricMAE,1000,2,auction,auction,0.01,1004.924668,0.717873833,0.188806773,4,-1
ort_lFalse_metricMAE,1000,2,auction,auction,0.1,1004.626479,0.718014866,0.718014866,4,-1
ort_lFalse_metricMAE,1000,2,auto_mpg,auto_mpg,0.0001,1000.946979,0.728111937,0.728111937,4,-1
ort_lFalse_metricMAE,1000,2,auto_mpg,auto_mpg,0.001,1000.999164,0.728111937,0.722902649,4,-1
ort_lFalse_metricMAE,1000,2,auto_mpg,auto_mpg,0.01,1000.915556,0.728111937,0.722902649,4,-1
ort_lFalse_metricMAE,1000,2,auto_mpg,auto_mpg,0.1,1000.958361,0.728111937,0.728111937,4,-1
ort_lFalse_metricMAE,1000,2,enb-cool,enb-cool,0.0001,1002.004758,0.881956096,0.883522909,4,-1
ort_lFalse_metricMAE,1000,2,enb-cool,enb-cool,0.001,1001.880765,0.882236525,0.882236525,4,-1
ort_lFalse_metricMAE,1000,2,enb-cool,enb-cool,0.01,1001.92692,0.882296194,0.882296194,4,-1
ort_lFalse_metricMAE,1000,2,enb-cool,enb-cool,0.1,1001.968715,0.882318152,0.882318152,4,-1
ort_lFalse_metricMAE,1000,2,enb-heat,enb-heat,0.0001,1002.802038,0.903413256,0.903413256,4,-1
ort_lFalse_metricMAE,1000,2,enb-heat,enb-heat,0.001,1002.000448,0.90313702,0.79528072,4,-1
ort_lFalse_metricMAE,1000,2,enb-heat,enb-heat,0.01,1003.537446,0.903110251,0.903110251,4,-1
ort_lFalse_metricMAE,1000,2,enb-heat,enb-heat,0.1,1001.922538,0.885255754,0.885255754,4,-1
ort_lFalse_metricMAE,1000,2,optical,optical,0.0001,620.1759062,0.987030108,0.965202874,4,-1
ort_lFalse_metricMAE,1000,2,optical,optical,0.001,166.7495618,0.987030111,0.965202877,4,-1
ort_lFalse_metricMAE,1000,2,optical,optical,0.01,688.9147894,0.987030107,0.950004929,4,-1
ort_lFalse_metricMAE,1000,2,optical,optical,0.1,256.415143,0.987030108,0.974146768,4,-1
ort_lFalse_metricMAE,1000,2,real-estate,real-estate,0.0001,1000.888241,0.615677602,0.610587973,4,-1
ort_lFalse_metricMAE,1000,2,real-estate,real-estate,0.001,1001.072414,0.622770333,0.622770333,4,-1
ort_lFalse_metricMAE,1000,2,real-estate,real-estate,0.01,1000.899802,0.616371285,0.616371285,4,-1
ort_lFalse_metricMAE,1000,2,real-estate,real-estate,0.1,1000.931703,0.62199347,0.62199347,4,-1
ort_lFalse_metricMAE,1000,2,servo,servo,0.0001,20.48366475,0.678294906,0.678294906,4,-1
ort_lFalse_metricMAE,1000,2,servo,servo,0.001,36.0529778,0.678294906,0.678294906,4,-1
ort_lFalse_metricMAE,1000,2,servo,servo,0.01,22.19995284,0.678294906,0.678294906,4,-1
ort_lFalse_metricMAE,1000,2,servo,servo,0.1,24.66643357,0.678294906,0.678294906,4,-1
ort_lFalse_metricMAE,1000,2,sync,sync,0.0001,1000.898334,0.922808446,0.922808446,4,-1
