method,depth,train_data,complexity_penalty,timeout,test_data,time,train_r2,test_r2,leaves,terminal_calls
osrt,3,airfoil,0.0001,1000,airfoil,2.661,0.515082458,0.515082458,8,-1
osrt,3,airfoil,0.001,1000,airfoil,1.852,0.515082458,0.515082458,8,-1
osrt,3,airfoil,0.01,1000,airfoil,0.988,0.515082458,0.515082458,8,-1
osrt,3,airfoil,0.1,1000,airfoil,0.716,0.35306312,0.35306312,3,-1
osrt,3,auction,0.0001,1000,auction,2.33,0.874185439,0.874185439,8,-1
osrt,3,auction,0.001,1000,auction,1.449,0.874185439,0.874185439,8,-1
osrt,3,auction,0.01,1000,auction,1.12,0.854121535,0.854121535,4,-1
osrt,3,auction,0.1,1000,auction,0.889,0.854121535,0.854121535,4,-1
osrt,3,auto_mpg,0.0001,1000,auto_mpg,1.104,0.844401785,0.844401785,8,-1
osrt,3,auto_mpg,0.001,1000,auto_mpg,0.82,0.844401785,0.844401785,8,-1
osrt,3,auto_mpg,0.01,1000,auto_mpg,0.626,0.83647455,0.83647455,7,-1
osrt,3,auto_mpg,0.1,1000,auto_mpg,0.15,0.690938776,0.690938776,3,-1
osrt,3,enb-cool,0.0001,1000,enb-cool,1.447,0.929775422,0.929775422,8,-1
osrt,3,enb-cool,0.001,1000,enb-cool,0.833,0.929775422,0.929775422,8,-1
osrt,3,enb-cool,0.01,1000,enb-cool,0.542,0.896626073,0.896626073,4,-1
osrt,3,enb-cool,0.1,1000,enb-cool,0.007,0.802431069,0.802431069,2,-1
osrt,3,enb-heat,0.0001,1000,enb-heat,1.215,0.949303619,0.949303619,8,-1
osrt,3,enb-heat,0.001,1000,enb-heat,0.807,0.949303619,0.949303619,8,-1
osrt,3,enb-heat,0.01,1000,enb-heat,0.505,0.942946084,0.942946084,7,-1
osrt,3,enb-heat,0.1,1000,enb-heat,0.007,0.791086551,0.791086551,2,-1
osrt,3,optical,0.0001,1000,optical,1.431,0.999370067,0.999370067,8,-1
osrt,3,optical,0.001,1000,optical,1.365,0.998647134,0.998647134,7,-1
osrt,3,optical,0.01,1000,optical,1.005,0.987754836,0.987754836,4,-1
osrt,3,optical,0.1,1000,optical,0.024,0.959097293,0.959097293,3,-1
osrt,3,real-estate,0.0001,1000,real-estate,2.287,0.74197597,0.74197597,8,-1
osrt,3,real-estate,0.001,1000,real-estate,1.893,0.74197597,0.74197597,8,-1
osrt,3,real-estate,0.01,1000,real-estate,1.325,0.74197597,0.74197597,8,-1
osrt,3,real-estate,0.1,1000,real-estate,0.121,0.49297523,0.49297523,2,-1
osrt,3,seoul-bike,0.0001,1000,seoul-bike,374.173,0.581736723,0.581736723,8,-1
osrt,3,seoul-bike,0.001,1000,seoul-bike,204.415,0.581736723,0.581736723,8,-1
osrt,3,seoul-bike,0.01,1000,seoul-bike,118.12,0.578731988,0.578731988,7,-1
osrt,3,seoul-bike,0.1,1000,seoul-bike,75.322,0.409394653,0.409394653,3,-1
osrt,3,servo,0.0001,1000,servo,0.073,0.889319121,0.889319121,8,-1
osrt,3,servo,0.001,1000,servo,0.055,0.889319121,0.889319121,8,-1
osrt,3,servo,0.01,1000,servo,0.048,0.879318413,0.879318413,5,-1
osrt,3,servo,0.1,1000,servo,0.025,0.694627348,0.694627348,3,-1
osrt,3,sync,0.0001,1000,sync,0.159,0.980234863,0.980234863,8,-1
osrt,3,sync,0.001,1000,sync,0.115,0.980234863,0.980234863,8,-1
osrt,3,sync,0.01,1000,sync,0.093,0.964080445,0.964080445,6,-1
osrt,3,sync,0.1,1000,sync,0.006,0.873866241,0.873866241,3,-1
osrt,3,yacht,0.0001,1000,yacht,1.234,0.990807505,0.990807505,8,-1
osrt,3,yacht,0.001,1000,yacht,1.042,0.990807505,0.990807505,8,-1
osrt,3,yacht,0.01,1000,yacht,0.826,0.977140083,0.977140083,5,-1
osrt,3,yacht,0.1,1000,yacht,0.011,0.911807465,0.911807465,3,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal0,3,airfoil,0.0001,1000,airfoil,0.212831,0.5150824580469473,0.5150824580468429,8,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,3,airfoil,0.001,1000,airfoil,0.217777,0.5150824580469473,0.5150824580468429,8,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,3,airfoil,0.01,1000,airfoil,0.218202,0.5150824580469473,0.5150824580468429,8,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,3,airfoil,0.1,1000,airfoil,0.178284,0.3530631207815848,0.3530631207810571,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,3,auction,0.0001,1000,auction,0.157536,0.8741854390470101,0.8741854390470085,8,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,3,auction,0.001,1000,auction,0.154508,0.8741854390470101,0.8741854390470085,8,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,3,auction,0.01,1000,auction,0.169047,0.8541215351512084,0.8541215351512069,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,3,auction,0.1,1000,auction,0.150962,0.8541215351512084,0.8541215351512069,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,3,auto_mpg,0.0001,1000,auto_mpg,0.157125,0.844401784712639,0.8444017847126388,8,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,3,auto_mpg,0.001,1000,auto_mpg,0.161742,0.844401784712639,0.8444017847126388,8,0
