method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
iai,1000,1,airfoil,airfoil,0.0001,0.1386258602142334,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0001,0.11761713027954102,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0001,0.12395620346069336,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0001,0.12566494941711426,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0001,0.13264775276184082,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0005,0.13843464851379395,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0005,0.12456059455871582,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0005,0.1256115436553955,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0005,0.1194005012512207,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0005,0.11668658256530762,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.001,0.13862919807434082,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.001,0.13566136360168457,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.001,0.1196753978729248,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.001,0.11998152732849121,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.001,0.11947345733642578,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0025,0.12276077270507812,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0025,0.13369464874267578,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0025,0.1277787685394287,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0025,0.15857672691345215,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.0025,0.16355013847351074,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.005,0.1316225528717041,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.005,0.12035846710205078,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.005,0.11655783653259277,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.005,0.15857625007629395,0.16081378881780595,0.16081378881780595,2,-1
iai,1000,1,airfoil,airfoil,0.005,0.17453622817993164,0.16081378881780595,0.16081378881780595,2,-1
