algorithm,cost_complexity,dataset,depth,leaves,sequence,terminal_calls,time,timeout,train_mse
streed_none,0.035,split_e4_household.csv,5,4,2,736,0.112493,1800,0.5615377798571852
streed_none,0.035,split_e5_household.csv,5,4,0,2450,7.19063,1800,0.6055415626553626
streed_none,0.035,split_e5_household.csv,5,4,1,2450,4.23778,1800,0.6055415626553626
streed_none,0.035,split_e5_household.csv,5,4,2,2450,3.78768,1800,0.6055415626553626
streed_none,0.035,split_e6_household.csv,5,3,0,3050,99.7201,1800,0.5324744938709923
streed_none,0.035,split_e6_household.csv,5,3,1,3050,85.4677,1800,0.5324744938709923
streed_none,0.035,split_e6_household.csv,5,3,2,3050,87.7166,1800,0.5324744938709923
streed_none,0.035,split_full_household.csv,5,3,0,3148,201.343,1800,0.5191273491713452
streed_none,0.035,split_full_household.csv,5,3,1,3148,204.151,1800,0.5191273491713452
streed_none,0.035,split_full_household.csv,5,3,2,3148,221.36,1800,0.5191273491713452
streed_similarity,0.035,split_e2_household.csv,5,4,0,32,0.000883,1800,0.3570621366190476
streed_similarity,0.035,split_e2_household.csv,5,4,1,32,0.000944,1800,0.3570621366190476
streed_similarity,0.035,split_e2_household.csv,5,4,2,32,0.000883,1800,0.3570621366190476
streed_similarity,0.035,split_e3_household.csv,5,3,0,323,0.01112,1800,0.5735267485597767
streed_similarity,0.035,split_e3_household.csv,5,3,1,323,0.011389,1800,0.5735267485597767
streed_similarity,0.035,split_e3_household.csv,5,3,2,323,0.011089,1800,0.5735267485597767
streed_similarity,0.035,split_e4_household.csv,5,4,0,557,0.114674,1800,0.5615377798571852
streed_similarity,0.035,split_e4_household.csv,5,4,1,557,0.119363,1800,0.5615377798571852
streed_similarity,0.035,split_e4_household.csv,5,4,2,557,0.114603,1800,0.5615377798571852
streed_similarity,0.035,split_e5_household.csv,5,4,0,1660,3.82417,1800,0.6055415626553626
streed_similarity,0.035,split_e5_household.csv,5,4,1,1660,3.81363,1800,0.6055415626553626
streed_similarity,0.035,split_e5_household.csv,5,4,2,1660,3.82814,1800,0.6055415626553626
streed_similarity,0.035,split_e6_household.csv,5,3,0,2327,97.7614,1800,0.5324744938709923
streed_similarity,0.035,split_e6_household.csv,5,3,1,2327,86.9213,1800,0.5324744938709923
streed_similarity,0.035,split_e6_household.csv,5,3,2,2327,88.2372,1800,0.5324744938709923
streed_similarity,0.035,split_full_household.csv,5,3,0,2365,202.668,1800,0.5191273491713452
streed_similarity,0.035,split_full_household.csv,5,3,1,2365,209.925,1800,0.5191273491713452
streed_similarity,0.035,split_full_household.csv,5,3,2,2365,186.82,1800,0.5191273491713452
