algorithm,cost_complexity,dataset,depth,leaves,terminal_calls,time,timeout,train_mse
osrt,0.005,airfoil.csv,7,20,0,23.931,100,27.91795341896112
osrt,0.005,airfoil.csv,7,20,0,25.814,100,27.91795341896112
osrt,0.01,airfoil.csv,7,14,0,24.966,100,30.061769130217915
osrt,0.01,airfoil.csv,7,14,0,21.655,100,30.061769130217915
osrt,0.01,airfoil.csv,7,14,0,22.992,100,30.061769130217915
osrt,0.1,airfoil.csv,7,,,,100,
osrt,0.1,airfoil.csv,7,,,,100,
osrt,0.1,airfoil.csv,7,,,,100,
osrt,0.0001,airfoil.csv,8,81,0,68.897,100,23.78040193231124
osrt,0.0001,airfoil.csv,8,81,0,62.162,100,23.78040193231124
osrt,0.0001,airfoil.csv,8,81,0,75.024,100,23.78040193231124
osrt,0.001,airfoil.csv,8,46,0,57.195,100,24.439119887624816
osrt,0.001,airfoil.csv,8,46,0,57.734,100,24.439119887624816
osrt,0.001,airfoil.csv,8,46,0,88.51,100,24.439119887624816
osrt,0.005,airfoil.csv,8,19,0,49.531,100,28.012613185585746
osrt,0.005,airfoil.csv,8,19,0,46.761,100,28.012613185585746
osrt,0.005,airfoil.csv,8,19,0,51.992,100,28.012613185585746
osrt,0.01,airfoil.csv,8,15,0,76.454,100,29.309578663771443
osrt,0.01,airfoil.csv,8,15,0,50.568,100,29.309578663771443
osrt,0.01,airfoil.csv,8,15,0,48.054,100,29.309578663771443
osrt,0.1,airfoil.csv,8,,,,100,
osrt,0.1,airfoil.csv,8,,,,100,
osrt,0.1,airfoil.csv,8,,,,100,
osrt,0.0001,airfoil.csv,9,-1,-1,101,100,-1
osrt,0.0001,airfoil.csv,9,-1,-1,101,100,-1
osrt,0.0001,airfoil.csv,9,-1,-1,101,100,-1
osrt,0.001,airfoil.csv,9,51,0,97.221,100,23.868952486209725
osrt,0.001,airfoil.csv,9,51,0,93.859,100,23.868952486209725
osrt,0.001,airfoil.csv,9,51,0,96.964,100,23.868952486209725
osrt,0.005,airfoil.csv,9,21,0,79.901,100,27.464572299116796
osrt,0.005,airfoil.csv,9,-1,-1,101,100,-1
osrt,0.005,airfoil.csv,9,21,0,97.269,100,27.464572299116796
